BPCY (BIOMASS_KT_TEMP * R_EX_rhamnose);WYIELD biomass: BIOMASS_KT_TEMP product: R_EX_rhamnose ;;;solution;
3.45286545570908;1.849749351272727;;{'DHNPA': 4};;{'DHNPA': (0.028000000000000025, 10000)};
6.373120018618179;0.8535428596363613;;{'EAR141y': 16};;{'EAR141y': (0.01344, 10000)};
5.666007277381812;1.5176805207272708;;{'G1SAT': 8};;{'G1SAT': (0.008960000000000001, 10000)};
5.66600727737812;1.5176805207284256;;{'QULNS': 8};;{'QULNS': (0.0030575999999999937, 10000)};
5.666007277381804;1.5176805207272706;;{'GLCNt2rpp': 16, 'SUCCt2_2pp': 0, 'EAR141y': 8, 'G1SAT': 8, 'PDX5POi': 0.5};;{'GLCNt2rpp': (-10000, -6.096456672821658e-12), 'SUCCt2_2pp': (0, 0), 'EAR141y': (0.00672, 10000), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381804;1.5176805207272706;;{'EX_val__L_e': 16, 'SUCCt2_2pp': 0, 'EAR141y': 8, 'G1SAT': 8, 'PDX5POi': 0.5};;{'SUCCt2_2pp': (0, 0), 'EAR141y': (0.00672, 10000), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381804;1.5176805207272706;;{'EX_val__L_e': 16, 'GLCNt2rpp': 16, 'EAR141y': 8, 'G1SAT': 8, 'PDX5POi': 0.5};;{'GLCNt2rpp': (-10000, -2.8137492336099955e-12), 'EAR141y': (0.00672, 10000), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381804;1.5176805207272706;;{'EX_val__L_e': 16, 'GLCNt2rpp': 16, 'SUCCt2_2pp': 0, 'G1SAT': 8, 'PDX5POi': 0.5};;{'GLCNt2rpp': (-10000, -9.379164112033318e-13), 'SUCCt2_2pp': (0, 0), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381804;1.5176805207272706;;{'EX_val__L_e': 16, 'GLCNt2rpp': 16, 'SUCCt2_2pp': 0, 'EAR141y': 8, 'PDX5POi': 0.5};;{'GLCNt2rpp': (-10000, -9.379164112033318e-13), 'SUCCt2_2pp': (0, 0), 'EAR141y': (0.00672, 10000)};
5.666007277381804;1.5176805207272706;;{'EX_val__L_e': 16, 'GLCNt2rpp': 16, 'SUCCt2_2pp': 0, 'EAR141y': 8, 'G1SAT': 8};;{'GLCNt2rpp': (-10000, -9.379164112033318e-13), 'SUCCt2_2pp': (0, 0), 'EAR141y': (0.00672, 10000), 'G1SAT': (0.008960000000000001, 10000)};
5.66600727738181;1.5176805207272732;;{'DASYN120': 8};;{'DASYN120': (0.0011200000000000001, 10000)};
5.666007277381814;1.5176805207272717;;{'EX_val__L_e': 16, 'GLCNt2rpp': 16, 'PC6YM': 32, 'G1SAT': 8};;{'GLCNt2rpp': (-10000, -6.096456672821658e-12), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381814;1.5176805207272717;;{'DASYN120': 8, 'GLCNt2rpp': 16, 'PC6YM': 32, 'G1SAT': 8};;{'DASYN120': (0.0011200000000000001, 10000), 'GLCNt2rpp': (-10000, -2.8137492336099955e-12), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381814;1.5176805207272717;;{'EX_val__L_e': 16, 'DASYN120': 8, 'PC6YM': 32, 'G1SAT': 8};;{'DASYN120': (0.0011200000000000001, 10000), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381814;1.5176805207272717;;{'EX_val__L_e': 16, 'DASYN120': 8, 'GLCNt2rpp': 16, 'G1SAT': 8};;{'DASYN120': (0.0011200000000000001, 10000), 'GLCNt2rpp': (-10000, -2.8137492336099955e-12), 'G1SAT': (0.008960000000000001, 10000)};
5.666007277381814;1.5176805207272717;;{'EX_val__L_e': 16, 'DASYN120': 8, 'GLCNt2rpp': 16, 'PC6YM': 32};;{'DASYN120': (0.0011200000000000001, 10000), 'GLCNt2rpp': (-10000, -2.8137492336099955e-12)};
